Tue |Thu |      0|30-04-0520| 1500| 215 |   1505|Yes |LQ   4|   N/A   |-- Exact 1500 Years Ago -- 
Tue |Thu |    189|05-11-2019|    0|   1 |      5|No  |FQ   7|2006 2025|--- Last -- Event:- Guy Falwks Night ---- @ Tue-05-Nov-2019
Tue |Thu |    189|05-11-2019|    0|   1 |      5|No  |FQ   7|2006 2025|--- Last -- Event:- Remember Remember 5th November Guy Fawkes FireWorks Night ---- @ Tue-05-Nov-2019
Thu |Thu |    189|05-11-2020|   -1|   0*|      6|Yes |O   19|2006 2025|--- Next -- Event:- Birthday Damo YEAR %%% ---- @ Thu-05-Nov-2020
Thu |Thu |    189|05-11-2020|   -1|   0*|      6|Yes |O   19|2006 2025|--- Next -- Event:- Bonfire Night ---- @ Thu-05-Nov-2020
Thu |Thu |    189|05-11-2020|   -1|   0*|      6|Yes |O   19|2006 2025|--- Next -- Event:- Guy Falwks Night ---- @ Thu-05-Nov-2020
Thu |Thu |    189|05-11-2020|   -1|   0*|      6|Yes |O   19|2006 2025|--- Next -- Event:- Remember Remember 5th November Guy Fawkes FireWorks Night ---- @ Thu-05-Nov-2020
Sat |Fri |    190|06-11-2010|    9|   1 |     11|No  |. *  0|2014 2033|--- New Moon * ---- @ Sat-06-Nov-2010 04:52:50a
Thu |Fri |    190|06-11-2014|    5|   1 |     11|No  |O * 14|2014 2033|--- Full Moon * ---- @ Thu-06-Nov-2014 10:23:52p
Thu |Sat |    191|07-11-2019|    0|   1 |      5|No  |FQ   9|1995 2071|--- Last -- Event:- Marie Curie's birth 1867 ---- @ Thu-07-Nov-2019
Sat |Sat |    191|07-11-2020|   -1|   0*|      6|Yes |O   21|1995 2071|--- Next -- Event:- Marie Curie's birth 1867 ---- @ Sat-07-Nov-2020
Fri |Sun |    192|08-11-2002|   17|   3 |     22|No  |.    3|1984 2022|Dr Habgood & Jannet 21 of 21
Tue |Mon |    193|09-11-1841|  178|  25 |    180|No  |LQ  25|   N/A   |Birthday - King Edward VII
Fri |Mon |    193|09-11-2007|   12|   3 |     22|No  |. *  0|2003 2049|--- New Moon * ---- @ Fri-09-Nov-2007 11:04:13p
Wed |Tue |    194|10-11-1683|  336|  47 |    338|No  |O   20|   N/A   |Birthday - King George II
Thu |Tue |    194|10-11-2011|    8|   2 |     11|No  |O * 15|2011 2030|--- Full Moon * ---- @ Thu-10-Nov-2011 08:17:23p
Sun |Tue |    194|10-11-2019|    0|   1 |      5|No  |FQ  12|2011 2030|--- Last -- Rememberance Sunday Veterans Day ---- @ Sun-10-Nov-2019
Mon |Wed |    195|11-11-1918|  101|  15 |    106|No  |FQ*  7|2000 2038|Veterans Day 11am
Wed |Wed |    195|11-11-1992|   27|   4*|     34|Yes |O   16|2000 2038|Bill hicks Sketch 11-11-1992
Mon |Wed |    195|11-11-2002|   17|   3 |     22|No  |. *  7|2000 2038|Karen Dillon 45th of 62
Sun |Wed |    195|11-11-2018|    1|   1 |     11|No  |.    3|2000 2038|--- Rememberance Sunday Veterans Day ---- @ Sun-11-Nov-2018
Sun |Wed |    195|11-11-2018|    1|   1 |     11|No  |.    3|2000 2038|--- Rememberance Veterans Day 11th Day 11th Hour ---- @ Sun-11-Nov-2018
Mon |Wed |    195|11-11-2019|    0|   1 |      5|No  |FQ  13|2000 2038|--- Last -- Event:- Remembrance Day ---- @ Mon-11-Nov-2019
Mon |Wed |    195|11-11-2019|    0|   1 |      5|No  |FQ  13|2000 2038|--- Last -- Rememberance Veterans Day 11th Day 11th Hour ---- @ Mon-11-Nov-2019
Wed |Wed |    195|11-11-2020|   -1|   0*|      6|Yes |LQ  25|2000 2038|--- Next -- Event:- Remembrance Day ---- @ Wed-11-Nov-2020
Wed |Wed |    195|11-11-2020|   -1|   0*|      6|Yes |LQ  25|2000 2038|--- Next -- Rememberance Veterans Day 11th Day 11th Hour ---- @ Wed-11-Nov-2020
Sun |Fri |    197|13-11-1312|  707| 103 |    710|Yes |.   15|   N/A   |Birthday - King Edward III
Fri |Fri |    197|13-11-1998|   21|   3*|     28|No  |LQ  23|2008 2046|Karen Dillon 09th of 62 32
Thu |Fri |    197|13-11-2008|   11|   2 |     17|Yes |O * 15|2008 2046|--- Full Moon * ---- @ Thu-13-Nov-2008 06:18:27a
Tue |Fri |    197|13-11-2012|    7|   2 |     17|Yes |. *  0|2008 2046|--- New Moon * ---- @ Tue-13-Nov-2012 10:09:07p
Wed |Fri |    197|13-11-2019|    0|   1 |      5|No  |O   15|2008 2046|--- Last -- Event:- Birthday Debbie Macindeor Was French ---- @ Wed-13-Nov-2019
Fri |Fri |    197|13-11-2020|   -1|   0*|      6|Yes |LQ  27|2008 2046|--- Next -- Event:- Birthday Debbie Macindeor Was French ---- @ Fri-13-Nov-2020
Fri |Fri |    197|13-11-2020|   -1|   0*|      6|Yes |LQ  27|2008 2046|--- Next -- Friday The 13th ---- @ Fri-13-Nov-2020
Mon |Sat |    198|14-11-1650|  369|  54 |    372|No  |O   19|   N/A   |Birthday - King William III
Thu |Sat |    198|14-11-1968|   51|   8 |     56|Yes |LQ  23|2016 2027|Birthday Paul Goatcher
Fri |Sat |    198|14-11-1997|   22|   4 |     28|No  |O * 14|2016 2027|Dr Schaik 4 of 4  10.30am
Thu |Sun |    199|15-11-2007|   12|   3 |     22|No  |.    5|1959 2024|1st Ward round with Dr Farman and Dr Assin
Fri |Sun |    199|15-11-2019|    0|   1 |      5|No  |O   17|1959 2024|2019 CHILDREN IN NEED
Sun |Sun |    199|15-11-2020|   -1|   0*|      6|Yes |. *  0|1959 2024|--- Next -- Rememberance Sunday Veterans Day ---- @ Sun-15-Nov-2020
Mon |Mon |    200|16-11-2009|   10|   2*|     17|No  |. *  0|2005 2043|--- New Moon * ---- @ Mon-16-Nov-2009 07:14:47p
Sat |Mon |    200|16-11-2019|    0|   1 |      5|No  |O   18|2005 2043|--- Last -- Event:- International Day for Tolerance ---- @ Sat-16-Nov-2019
Mon |Mon |    200|16-11-2020|   -1|   0*|      6|Yes |.    0|2005 2043|--- Next -- Event:- International Day for Tolerance ---- @ Mon-16-Nov-2020
Mon |Tue |    201|17-11-1997|   22|   4 |     28|No  |O   16|2013 2032|Dr Baker appointment Rutland 10.30
Sun |Tue |    201|17-11-2002|   17|   3 |     22|No  |FQ  12|2013 2032|Acid in eyes in pub heavy*2
Mon |Tue |    201|17-11-2003|   16|   3 |     22|No  |LQ* 22|2013 2032|Last time saw stuart lawson 7 of 7 with natasha 2pm
Sun |Tue |    201|17-11-2013|    6|   2 |     11|No  |O * 14|2013 2032|--- Full Moon * ---- @ Sun-17-Nov-2013 03:16:52p
Sun |Tue |    201|17-11-2019|    0|   1 |      5|No  |O   19|2013 2032|--- Last -- Event:- World Peace Day ---- @ Sun-17-Nov-2019
Tue |Tue |    201|17-11-2020|   -1|   0*|      6|Yes |.    1|2013 2032|--- Next -- Event:- World Peace Day ---- @ Tue-17-Nov-2020
Mon |Wed |    202|18-11-1996|   23|   4 |     28|Yes |FQ*  6|1994 2040|Dr Habgood Cristine  1 of 21
Thu |Wed |    202|18-11-1999|   20|   3 |     22|No  |FQ   9|1994 2040|Karen Dillon 15th of 62 cancled Home
Wed |Wed |    202|18-11-2020|   -1|   0*|      6|Yes |.    2|1994 2040|2020 CHILDREN IN NEED -- FRIDAY YEAR
Wed |Fri |    204|20-11-1968|   51|   8 |     56|Yes |. *  0|2002 2048|My Birthday - Born 6:30am MLV
Tue |Fri |    204|20-11-1990|   29|   5 |     39|No  |.    2|2002 2048|My Birthday day year of the skitch scam
Fri |Fri |    204|20-11-1992|   27|   4*|     34|Yes |LQ  25|2002 2048|My Birthday in bill hicks year
Sun |Fri |    204|20-11-1994|   25|   4 |     28|No  |O   16|2002 2048|Birthday on year of pirate radio
Fri |Fri |    204|20-11-1998|   21|   3*|     28|No  |.    0|2002 2048|Birthday of year of spining storm
Wed |Fri |    204|20-11-2019|    0|   1 |      5|No  |LQ  22|2002 2048|--- Last -- Event:- Universal Childrens Day - UN ---- @ Wed-20-Nov-2019
Fri |Fri |    204|20-11-2020|   -1|   0*|      6|Yes |.    4|2002 2048|--- Next -- Event:- Universal Childrens Day - UN ---- @ Fri-20-Nov-2020
Fri |Sat |    205|21-11-1997|   22|   4 |     28|No  |LQ* 21|2010 2029|Dr Geenwood 1 of 1 at aldrington with jenny light wet
Thu |Sat |    205|21-11-2002|   17|   3 |     22|No  |O   16|2010 2029|Slashing Rain
Sun |Sat |    205|21-11-2004|   15|   2 |     17|Yes |FQ   8|2010 2029|Dr El Sayed and Karen Dillion Slashing Rain
Sun |Sat |    205|21-11-2010|    9|   1 |     11|No  |O * 15|2010 2029|--- Full Moon * ---- @ Sun-21-Nov-2010 05:28:26p
Fri |Sun |    206|22-11-2002|   17|   3 |     22|No  |O   17|1980 2037|Face Deform
Sat |Sun |    206|22-11-2014|    5|   1 |     11|No  |. *  0|1980 2037|--- New Moon * ---- @ Sat-22-Nov-2014 12:33:21p
Thu |Sun |    206|22-11-2018|    1|   1 |     11|No  |FQ  14|1980 2037|--- US Thanksgiving Day - Fourth Thurs in Month Nov ---- @ Thu-22-Nov-2018
Fri |Sun |    206|22-11-2019|    0|   1 |      5|No  |LQ  24|1980 2037|--- Last -- Event:- 9th Sign Sagittarius Nov22 Dec21 Fire Sign Ruled by Jupiter: The Archer ---- @ Fri-22-Nov-2019
Fri |Sun |    206|22-11-2019|    0|   1 |      5|No  |LQ  24|1980 2037|--- Last -- Event:- JF Kennedy assassinated 1963 ---- @ Fri-22-Nov-2019
Sun |Sun |    206|22-11-2020|   -1|   0*|      6|Yes |. *  6|1980 2037|--- Next -- Event:- 9th Sign Sagittarius Nov22 Dec21 Fire Sign Ruled by Jupiter: The Archer ---- @ Sun-22-Nov-2020
Sun |Sun |    206|22-11-2020|   -1|   0*|      6|Yes |. *  6|1980 2037|--- Next -- Event:- JF Kennedy assassinated 1963 ---- @ Sun-22-Nov-2020
Fri |Mon |    207|23-11-2018|    1|   1 |     11|No  |O * 15|2018 2113|--- Buy Nothing Day in US - Day after Thanksgiving. ---- @ Fri-23-Nov-2018
Sat |Tue |    208|24-11-2007|   12|   3 |     22|No  |O * 14|2007 2026|--- Full Moon * ---- @ Sat-24-Nov-2007 02:30:53p
Wed |Wed |    209|25-11-1998|   21|   3*|     28|No  |.    5|2015 2034|Stopped weekly injections Onto 2 Weekly Dr Hume
Mon |Wed |    209|25-11-2002|   17|   3 |     22|No  |O   20|2015 2034|Karen Dillon 46th of 62 at aldrington review 2.30pm
Tue |Wed |    209|25-11-2003|   16|   3 |     22|No  |.    1|2015 2034|Dr El Sayed 11th 2:30pm & karen canceled week later
Fri |Wed |    209|25-11-2011|    8|   2 |     11|No  |. *  0|2015 2034|--- New Moon * ---- @ Fri-25-Nov-2011 06:10:49a
Sun |Wed |    209|25-11-2018|    1|   1 |     11|No  |O   17|2015 2034|--- Event:- First Sunday In Advent ---- @ Sun-25-Nov-2018
Sun |Thu |    210|26-11-2000|   19|   3 |     23|Yes |LQ   0|2004 2091|First appt with Ali workablity wed not sure date 9.45am
Thu |Thu |    210|26-11-2020|   -1|   0*|      6|Yes |FQ  10|2004 2091|--- Next -- US Thanksgiving Day - Fourth Thurs in Month Nov ---- @ Thu-26-Nov-2020
Wed |Fri |    211|27-11-2002|   17|   3 |     22|No  |LQ* 22|1985 2023|meeting at aldrington with spencer and m dixon about getting back after puff
Thu |Fri |    211|27-11-2008|   11|   2 |     17|Yes |. *  0|1985 2023|--- New Moon * ---- @ Thu-27-Nov-2008 04:55:48p
Thu |Fri |    211|27-11-2008|   11|   2 |     17|Yes |. *  0|1985 2023|Left Rutlands 4 Days on run Assesment by Dr Le Seve Finished 9 months Rutland Gardens
Thu |Fri |    211|27-11-2008|   11|   2 |     17|Yes |. *  0|1985 2023|Sleep on Downs 1st day on Run
Fri |Fri |    211|27-11-2020|   -1|   0*|      6|Yes |FQ  11|1985 2023|--- Next -- Buy Nothing Day in US - Day after Thanksgiving. ---- @ Fri-27-Nov-2020
Fri |Sat |    212|28-11-2008|   11|   2 |     17|Yes |.    0|2012 2031|Stay in Best Western Hotel For Night
Wed |Sat |    212|28-11-2012|    7|   2 |     17|Yes |O * 14|2012 2031|--- Full Moon * ---- @ Wed-28-Nov-2012 02:47:09p
Thu |Sat |    212|28-11-2019|    0|   1 |      5|No  |.    1|2012 2031|--- Last -- US Thanksgiving Day - Fourth Thurs in Month Nov ---- @ Thu-28-Nov-2019
Mon |Sun |    213|29-11-1999|   20|   3 |     22|No  |O * 21|1993 2077|Karen Dillon 16th of 62 home 2pm
Sat |Sun |    213|29-11-2008|   11|   2 |     17|Yes |.    1|1993 2077|Sleep on Downs 1st day on Run Early Hours Sunday
Fri |Sun |    213|29-11-2019|    0|   1 |      5|No  |.    2|1993 2077|--- Last -- Buy Nothing Day in US - Day after Thanksgiving. ---- @ Fri-29-Nov-2019
Sun |Sun |    213|29-11-2020|   -1|   0*|      6|Yes |FQ  13|1993 2077|--- Next -- Event:- First Sunday In Advent ---- @ Sun-29-Nov-2020
Fri |Mon |    214|30-11-1906|  113|  17 |    123|No  |O * 14|2001*2039|--- Calendar Blue Moon ---- @ Fri-30-Nov-1906 11:07:11p --- 2nd Full Moon in Month
Sat |Mon |    214|30-11-1963|   56|   9 |     61|No  |O * 14|2001*2039|--- Calendar Blue Moon ---- @ Sat-30-Nov-1963 11:54:37p --- 2nd Full Moon in Month
Fri |Mon |    214|30-11-2001|   18|   4 |     28|No  |O * 15|2001*2039|--- Calendar Blue Moon ---- @ Fri-30-Nov-2001 08:50:09p --- 2nd Full Moon in Month
Sun |Mon |    214|30-11-2008|   11|   2 |     17|Yes |.    2|2001*2039|Picked up By Police Taken to Mill View Section 7th Time
Sun |Mon |    214|30-11-2008|   11|   2 |     17|Yes |.    2|2001*2039|Sectioned to Mill view 4 Months
Sat |Mon |    214|30-11-2019|    0|   1 |      5|No  |.    3|2001*2039|--- Last -- Event:- St Andrew's Day, Scotland ---- @ Sat-30-Nov-2019
Mon |Mon |    214|30-11-2020|   -1|   0*|      6|Yes |O * 15|2001*2039|--- # Lunar Eclipse -Penumbral 30-11-2020 09:31:00a GMT
Mon |Mon |    214|30-11-2020|   -1|   0*|      6|Yes |O * 15|2001*2039|--- Next -- Event:- St Andrew's Day, Scotland ---- @ Mon-30-Nov-2020
Wed |Tue |    215|01-12-1971|   48|   7 |     50|No  |FQ  12|1982 2066|Birthday Junior Lamont
Sun |Tue |    215|01-12-2019|    0|   1 |      5|No  |.    4|1982 2066|--- Last -- Event:- First Sunday In Advent ---- @ Sun-01-Dec-2019
Sun |Tue |    215|01-12-2019|    0|   1 |      5|No  |.    4|1982 2066|--- Last -- Event:- Start of Season Winter Dec to Feb -- Amature Stuff ---- @ Sun-01-Dec-2019
Sun |Tue |    215|01-12-2019|    0|   1 |      5|No  |.    4|1982 2066|--- Last -- Event:- Tolerance Week - 1st week of Dec. ---- @ Sun-01-Dec-2019
Sun |Tue |    215|01-12-2019|    0|   1 |      5|No  |.    4|1982 2066|--- Last -- Event:- World Aids Day ---- @ Sun-01-Dec-2019
Tue |Tue |    215|01-12-2020|   -1|   0*|      6|Yes |O   15|1982 2066|--- Next -- Event:- Start of Season Winter Dec to Feb -- Amature Stuff ---- @ Tue-01-Dec-2020
Tue |Tue |    215|01-12-2020|   -1|   0*|      6|Yes |O   15|1982 2066|--- Next -- Event:- Tolerance Week - 1st week of Dec. ---- @ Tue-01-Dec-2020
Tue |Tue |    215|01-12-2020|   -1|   0*|      6|Yes |O   15|1982 2066|--- Next -- Event:- World Aids Day ---- @ Tue-01-Dec-2020
Mon |Wed |    216|02-12-1968|   51|   8 |     56|Yes |FQ  11|2009 2028|Birthday Michelle Young
Mon |Wed |    216|02-12-2002|   17|   3 |     22|No  |LQ  27|2009 2028|Return to police station at 9:00am
Tue |Wed |    216|02-12-2003|   16|   3 |     22|No  |FQ   8|2009 2028|Dr El Sayed 12th 3pm & karen canceled 6 days later
Wed |Wed |    216|02-12-2009|   10|   2*|     17|No  |O * 15|2009 2028|--- Full Moon * ---- @ Wed-02-Dec-2009 07:31:35a
Tue |Thu |    217|03-12-2002|   17|   3 |     22|No  |LQ  28|2017 2036|Dr El Sayed 7th 1.30pm
Tue |Thu |    217|03-12-2013|    6|   2 |     11|No  |. *  0|2017 2036|--- New Moon * ---- @ Tue-03-Dec-2013 12:23:29a
Tue |Sat |    219|05-12-1944|   75|  11 |     79|Yes |O   19|2006 2063|Dads Birthday
Sun |Sat |    219|05-12-2010|    9|   1 |     11|No  |. *  0|2006 2063|--- New Moon * ---- @ Sun-05-Dec-2010 05:36:50p
Sat |Sun |    220|06-12-2014|    5|   1 |     11|No  |O * 13|2014 2033|--- Full Moon * ---- @ Sat-06-Dec-2014 12:27:50p
Fri |Sun |    220|06-12-2019|    0|   1 |      5|No  |FQ   9|2014 2033|--- Last -- Event:- Birthday Michele CORBET Openshaw ---- @ Fri-06-Dec-2019
Sun |Sun |    220|06-12-2020|   -1|   0*|      6|Yes |O   20|2014 2033|--- Next -- Event:- Birthday Michele CORBET Openshaw ---- @ Sun-06-Dec-2020
Sat |Mon |    221|07-12-2019|    0|   1 |      5|No  |FQ  10|1995 2041|--- Last -- Event:- PAUL NICKLEN BIRTHDAY FAMILY ---- @ Sat-07-Dec-2019
Sat |Mon |    221|07-12-2019|    0|   1 |      5|No  |FQ  10|1995 2041|--- Last -- Event:- Pearl Harbour Day ---- @ Sat-07-Dec-2019
Mon |Mon |    221|07-12-2020|   -1|   0*|      6|Yes |O   21|1995 2041|--- Next -- Event:- PAUL NICKLEN BIRTHDAY FAMILY ---- @ Mon-07-Dec-2020
Mon |Mon |    221|07-12-2020|   -1|   0*|      6|Yes |O   21|1995 2041|--- Next -- Event:- Pearl Harbour Day ---- @ Mon-07-Dec-2020
Mon |Tue |    222|08-12-2003|   16|   3 |     22|No  |O * 14|2003 2022|Dr El Sayed 13th 11am & karen
Mon |Tue |    222|08-12-2008|   11|   2 |     17|Yes |FQ  10|2003 2022|Apply to Tribunal
Mon |Tue |    222|08-12-2008|   11|   2 |     17|Yes |FQ  10|2003 2022|Control Restraint #1 Try Inject Left with Fakeing Done It Plan
Mon |Wed |    223|09-12-2002|   17|   3 |     22|No  |.    4|1916 2030|Karen Dillon 47th of 62
Sun |Wed |    223|09-12-2007|   12|   3 |     22|No  |. *  0|1916 2030|--- New Moon * ---- @ Sun-09-Dec-2007 05:41:26p
Fri |Thu |    224|10-12-1971|   48|   7 |     50|No  |LQ  21|2011 2076|Valerie de Schaller Birthday 3 years younger Than Me
Sat |Thu |    224|10-12-2011|    8|   2 |     11|No  |O * 15|2011 2076|--- Full Moon * ---- @ Sat-10-Dec-2011 02:37:33p
Tue |Thu |    224|10-12-2019|    0|   1 |      5|No  |FQ  13|2011 2076|--- Event:- Human Rights Day ---- @ Tue-10-Dec-2019
Tue |Thu |    224|10-12-2019|    0|   1 |      5|No  |FQ  13|2011 2076|--- Last -- Event:- Human Rights Day, a United Nations observance. ---- @ Tue-10-Dec-2019
Thu |Thu |    224|10-12-2020|   -1|   0*|      6|Yes |LQ  24|2011 2076|--- Event:- Human Rights Day ---- @ Thu-10-Dec-2020
Thu |Thu |    224|10-12-2020|   -1|   0*|      6|Yes |LQ  24|2011 2076|--- Next -- Event:- Human Rights Day, a United Nations observance. ---- @ Thu-10-Dec-2020
Wed |Fri |    225|11-12-2002|   17|   3 |     22|No  |FQ*  7|2000 2038|Got admitted to Hospital 4th Stay MillView
Fri |Fri |    225|11-12-2020|   -1|   0*|      6|Yes |LQ  25|2000 2038|--- Next Earliest Sunset Winter  04:53:29p
Fri |Sat |    226|12-12-2008|   11|   2 |     17|Yes |O * 14|2019 2065|--- Full Moon * ---- @ Fri-12-Dec-2008 04:38:17p
Sat |Sat |    226|12-12-2015|    4|   1*|     11|No  |.    0|2019 2065|--- Earliest Sunset Winter  04:53:30p
Mon |Sat |    226|12-12-2016|    3|   1 |      6|Yes |FQ  12|2019 2065|--- Earliest Sunset Winter  04:53:30p
Tue |Sat |    226|12-12-2017|    2|   1 |      6|No  |LQ  23|2019 2065|--- Earliest Sunset Winter  04:53:30p
Wed |Sat |    226|12-12-2018|    1|   1 |     11|No  |.    4|2019 2065|--- Earliest Sunset Winter  04:53:29p
Thu |Sat |    226|12-12-2019|    0|   1 |      5|No  |O * 15|2019 2065|--- Last Earliest Sunset Winter  04:53:29p
Mon |Sun |    227|13-12-1999|   20|   3 |     22|No  |.    5|1951 2027|Dr Le Seve  7 of 15
Mon |Sun |    227|13-12-2004|   15|   2 |     17|Yes |.    0|1951 2027|Dr El Sayed 17th 11:30am cancled
Thu |Sun |    227|13-12-2012|    7|   2 |     17|Yes |. *  0|1951 2027|--- New Moon * ---- @ Thu-13-Dec-2012 08:42:40a
Fri |Sun |    227|13-12-2019|    0|   1 |      5|No  |O   16|1951 2027|--- Friday The 13th ---- @ Fri-13-Dec-2019
Sat |Mon |    228|14-12-1895|  124|  19 |    129|No  |LQ  27|   N/A   |Birthday - King George VI
Mon |Mon |    228|14-12-2020|   -1|   0*|      6|Yes |. *  0|2016 2054|--- # Solar Eclipse -Total 14-12-2020 04:17:00p GMT
Mon |Wed |    230|16-12-1968|   51|   8 |     56|Yes |LQ  25|1986 2032|Birthday Lance Hill
Fri |Wed |    230|16-12-2005|   14|   3 |     17|No  |O   14|1986 2032|Aldrington Member Meet Mia 4pm
Wed |Wed |    230|16-12-2009|   10|   2*|     17|No  |. *  0|1986 2032|--- New Moon * ---- @ Wed-16-Dec-2009 12:03:18p
Mon |Thu |    231|17-12-2001|   18|   4 |     28|No  |.    2|2013 2051|Karen Dillon 31st of 62
Tue |Thu |    231|17-12-2013|    6|   2 |     11|No  |O * 14|2013 2051|--- Full Moon * ---- @ Tue-17-Dec-2013 09:29:16a
Wed |Fri |    232|18-12-1968|   51|   8 |     56|Yes |LQ  27|1994 2040|Birthday Paul Pritchett
Wed |Fri |    232|18-12-1968|   51|   8 |     56|Yes |LQ  27|1994 2040|Birthday Roberto Pampado
Mon |Fri |    232|18-12-2000|   19|   3 |     23|Yes |LQ* 22|1994 2040|Dr Le Seve 10 of 15
Mon |Fri |    232|18-12-2000|   19|   3 |     23|Yes |LQ* 22|1994 2040|Karen Dillon 26th of 62 cpa review Latest in Year ever
Thu |Sun |    234|20-12-2007|   12|   3 |     22|No  |FQ  10|1983 2029|Complain settled and resoved about Cook turn up no appointment Notice
Tue |Mon |    235|21-12-1915|  104|  15 |    106|No  |O * 14|2010 2094|--- Real Blue Moon ---- @ Tue-21-Dec-1915 12:52:28p --- 13 Full Moons in Year
Sun |Mon |    235|21-12-1980|   39|   6 |     45|Yes |O * 14|2010 2094|--- Real Blue Moon ---- @ Sun-21-Dec-1980 06:08:47p --- 13 Full Moons in Year
Tue |Mon |    235|21-12-2010|    9|   1 |     11|No  |O * 15|2010 2094|--- Full Moon * ---- @ Tue-21-Dec-2010 08:14:34a
Wed |Mon |    235|21-12-2016|    3|   1 |      6|Yes |LQ* 21|2010 2094|--- Shortest Day ---- @ Wed-21-Dec-2016
Thu |Mon |    235|21-12-2017|    2|   1 |      6|No  |.    2|2010 2094|--- Shortest Day ---- @ Thu-21-Dec-2017
Fri |Mon |    235|21-12-2018|    1|   1 |     11|No  |FQ  13|2010 2094|--- Shortest Day ---- @ Fri-21-Dec-2018
Sat |Mon |    235|21-12-2019|    0|   1 |      5|No  |LQ  24|2010 2094|--- Last -- Event:- Winter Solstice (& June 21st) ---- @ Sat-21-Dec-2019
Mon |Mon |    235|21-12-2020|   -1|   0*|      6|Yes |FQ*  7|2010 2094|--- Next -- Event:- Winter Solstice (& June 21st) ---- @ Mon-21-Dec-2020
Mon |Mon |    235|21-12-2020|   -1|   0*|      6|Yes |FQ*  7|2010 2094|--- Next -- Shortest Day ---- @ Mon-21-Dec-2020
Mon |Mon |    235|21-12-2020|   -1|   0*|      6|Yes |FQ*  7|2010 2094|--- Next -- Winter Solstice ---- @ Mon-21-Dec-2020
Thu |Tue |    236|22-12-1904|  115|  17 |    118|Yes |O * 15|2018 2037|--- Real Blue Moon ---- @ Thu-22-Dec-1904 06:00:57p --- 13 Full Moons in Year
Tue |Tue |    236|22-12-1942|   77|  11*|     84|No  |O * 14|2018 2037|--- Real Blue Moon ---- @ Tue-22-Dec-1942 03:03:38p --- 13 Full Moons in Year
Fri |Tue |    236|22-12-1961|   58|   9 |     62|No  |O * 14|2018 2037|--- Real Blue Moon ---- @ Fri-22-Dec-1961 12:42:25a --- 13 Full Moons in Year
Wed |Tue |    236|22-12-1999|   20|   3 |     22|No  |O * 14|2018 2037|--- Real Blue Moon ---- @ Wed-22-Dec-1999 05:32:19p --- 13 Full Moons in Year
Mon |Tue |    236|22-12-2008|   11|   2 |     17|Yes |LQ  24|2018 2037|1st Injection Pinned Room by Jane
Mon |Tue |    236|22-12-2008|   11|   2 |     17|Yes |LQ  24|2018 2037|Control Restraint #2 Try Inject Not work
Mon |Tue |    236|22-12-2014|    5|   1 |     11|No  |. *  0|2018 2037|--- New Moon * ---- @ Mon-22-Dec-2014 01:36:58a
Tue |Tue |    236|22-12-2015|    4|   1*|     11|No  |FQ  10|2018 2037|--- Shortest Day ---- @ Tue-22-Dec-2015
Sat |Tue |    236|22-12-2018|    1|   1 |     11|No  |O * 15|2018 2037|--- Last -- Real Blue Moon ---- @ Sat-22-Dec-2018 05:49:48p --- 13 Full Moons in Year
